,name,class_name,input_shape,output_shape,nb_params
38,attention_module1.trunk_branches.1.conv1,Conv2d,"(-1, 256, 56, 56)","(-1, 64, 56, 56)",tensor(16384)
39,attention_module1.trunk_branches.1.bn2,BatchNorm2d,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",tensor(128)
40,attention_module1.trunk_branches.1.relu,ReLU,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",0
41,attention_module1.trunk_branches.1.conv2,Conv2d,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",tensor(36864)
42,attention_module1.trunk_branches.1.bn3,BatchNorm2d,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",tensor(128)
43,attention_module1.trunk_branches.1.relu,ReLU,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",0
44,attention_module1.trunk_branches.1.conv3,Conv2d,"(-1, 64, 56, 56)","(-1, 256, 56, 56)",tensor(16384)
45,attention_module1.trunk_branches.1,ResidualBlock,"(-1, 256, 56, 56)","(-1, 256, 56, 56)",tensor(135936)
46,attention_module1.mpool1,MaxPool2d,"(-1, 256, 56, 56)","(-1, 256, 28, 28)",0
47,attention_module1.softmax1_blocks.bn1,BatchNorm2d,"(-1, 256, 28, 28)","(-1, 256, 28, 28)",tensor(512)
48,attention_module1.softmax1_blocks.relu,ReLU,"(-1, 256, 28, 28)","(-1, 256, 28, 28)",0
49,attention_module1.softmax1_blocks.conv1,Conv2d,"(-1, 256, 28, 28)","(-1, 64, 28, 28)",tensor(16384)
50,attention_module1.softmax1_blocks.bn2,BatchNorm2d,"(-1, 64, 28, 28)","(-1, 64, 28, 28)",tensor(128)
51,attention_module1.softmax1_blocks.relu,ReLU,"(-1, 64, 28, 28)","(-1, 64, 28, 28)",0
52,attention_module1.softmax1_blocks.conv2,Conv2d,"(-1, 64, 28, 28)","(-1, 64, 28, 28)",tensor(36864)
53,attention_module1.softmax1_blocks.bn3,BatchNorm2d,"(-1, 64, 28, 28)","(-1, 64, 28, 28)",tensor(128)
54,attention_module1.softmax1_blocks.relu,ReLU,"(-1, 64, 28, 28)","(-1, 64, 28, 28)",0
55,attention_module1.softmax1_blocks.conv3,Conv2d,"(-1, 64, 28, 28)","(-1, 256, 28, 28)",tensor(16384)
56,attention_module1.softmax1_blocks,ResidualBlock,"(-1, 256, 28, 28)","(-1, 256, 28, 28)",tensor(135936)
57,attention_module1.skip1_connection_residual_block.bn1,BatchNorm2d,"(-1, 256, 28, 28)","(-1, 256, 28, 28)",tensor(512)
58,attention_module1.skip1_connection_residual_block.relu,ReLU,"(-1, 256, 28, 28)","(-1, 256, 28, 28)",0
59,attention_module1.skip1_connection_residual_block.conv1,Conv2d,"(-1, 256, 28, 28)","(-1, 64, 28, 28)",tensor(16384)
60,attention_module1.skip1_connection_residual_block.bn2,BatchNorm2d,"(-1, 64, 28, 28)","(-1, 64, 28, 28)",tensor(128)
61,attention_module1.skip1_connection_residual_block.relu,ReLU,"(-1, 64, 28, 28)","(-1, 64, 28, 28)",0
62,attention_module1.skip1_connection_residual_block.conv2,Conv2d,"(-1, 64, 28, 28)","(-1, 64, 28, 28)",tensor(36864)
63,attention_module1.skip1_connection_residual_block.bn3,BatchNorm2d,"(-1, 64, 28, 28)","(-1, 64, 28, 28)",tensor(128)
64,attention_module1.skip1_connection_residual_block.relu,ReLU,"(-1, 64, 28, 28)","(-1, 64, 28, 28)",0
65,attention_module1.skip1_connection_residual_block.conv3,Conv2d,"(-1, 64, 28, 28)","(-1, 256, 28, 28)",tensor(16384)
66,attention_module1.skip1_connection_residual_block,ResidualBlock,"(-1, 256, 28, 28)","(-1, 256, 28, 28)",tensor(135936)
67,attention_module1.mpool2,MaxPool2d,"(-1, 256, 28, 28)","(-1, 256, 14, 14)",0
68,attention_module1.softmax2_blocks.bn1,BatchNorm2d,"(-1, 256, 14, 14)","(-1, 256, 14, 14)",tensor(512)
69,attention_module1.softmax2_blocks.relu,ReLU,"(-1, 256, 14, 14)","(-1, 256, 14, 14)",0
70,attention_module1.softmax2_blocks.conv1,Conv2d,"(-1, 256, 14, 14)","(-1, 64, 14, 14)",tensor(16384)
71,attention_module1.softmax2_blocks.bn2,BatchNorm2d,"(-1, 64, 14, 14)","(-1, 64, 14, 14)",tensor(128)
72,attention_module1.softmax2_blocks.relu,ReLU,"(-1, 64, 14, 14)","(-1, 64, 14, 14)",0
73,attention_module1.softmax2_blocks.conv2,Conv2d,"(-1, 64, 14, 14)","(-1, 64, 14, 14)",tensor(36864)
74,attention_module1.softmax2_blocks.bn3,BatchNorm2d,"(-1, 64, 14, 14)","(-1, 64, 14, 14)",tensor(128)
75,attention_module1.softmax2_blocks.relu,ReLU,"(-1, 64, 14, 14)","(-1, 64, 14, 14)",0
76,attention_module1.softmax2_blocks.conv3,Conv2d,"(-1, 64, 14, 14)","(-1, 256, 14, 14)",tensor(16384)
77,attention_module1.softmax2_blocks,ResidualBlock,"(-1, 256, 14, 14)","(-1, 256, 14, 14)",tensor(135936)
78,attention_module1.skip2_connection_residual_block.bn1,BatchNorm2d,"(-1, 256, 14, 14)","(-1, 256, 14, 14)",tensor(512)
79,attention_module1.skip2_connection_residual_block.relu,ReLU,"(-1, 256, 14, 14)","(-1, 256, 14, 14)",0
80,attention_module1.skip2_connection_residual_block.conv1,Conv2d,"(-1, 256, 14, 14)","(-1, 64, 14, 14)",tensor(16384)
81,attention_module1.skip2_connection_residual_block.bn2,BatchNorm2d,"(-1, 64, 14, 14)","(-1, 64, 14, 14)",tensor(128)
82,attention_module1.skip2_connection_residual_block.relu,ReLU,"(-1, 64, 14, 14)","(-1, 64, 14, 14)",0
83,attention_module1.skip2_connection_residual_block.conv2,Conv2d,"(-1, 64, 14, 14)","(-1, 64, 14, 14)",tensor(36864)
84,attention_module1.skip2_connection_residual_block.bn3,BatchNorm2d,"(-1, 64, 14, 14)","(-1, 64, 14, 14)",tensor(128)
85,attention_module1.skip2_connection_residual_block.relu,ReLU,"(-1, 64, 14, 14)","(-1, 64, 14, 14)",0
86,attention_module1.skip2_connection_residual_block.conv3,Conv2d,"(-1, 64, 14, 14)","(-1, 256, 14, 14)",tensor(16384)
87,attention_module1.skip2_connection_residual_block,ResidualBlock,"(-1, 256, 14, 14)","(-1, 256, 14, 14)",tensor(135936)
88,attention_module1.mpool3,MaxPool2d,"(-1, 256, 14, 14)","(-1, 256, 7, 7)",0
89,attention_module1.softmax3_blocks.0.bn1,BatchNorm2d,"(-1, 256, 7, 7)","(-1, 256, 7, 7)",tensor(512)
90,attention_module1.softmax3_blocks.0.relu,ReLU,"(-1, 256, 7, 7)","(-1, 256, 7, 7)",0
91,attention_module1.softmax3_blocks.0.conv1,Conv2d,"(-1, 256, 7, 7)","(-1, 64, 7, 7)",tensor(16384)
92,attention_module1.softmax3_blocks.0.bn2,BatchNorm2d,"(-1, 64, 7, 7)","(-1, 64, 7, 7)",tensor(128)
93,attention_module1.softmax3_blocks.0.relu,ReLU,"(-1, 64, 7, 7)","(-1, 64, 7, 7)",0
94,attention_module1.softmax3_blocks.0.conv2,Conv2d,"(-1, 64, 7, 7)","(-1, 64, 7, 7)",tensor(36864)
95,attention_module1.softmax3_blocks.0.bn3,BatchNorm2d,"(-1, 64, 7, 7)","(-1, 64, 7, 7)",tensor(128)
96,attention_module1.softmax3_blocks.0.relu,ReLU,"(-1, 64, 7, 7)","(-1, 64, 7, 7)",0
97,attention_module1.softmax3_blocks.0.conv3,Conv2d,"(-1, 64, 7, 7)","(-1, 256, 7, 7)",tensor(16384)
98,attention_module1.softmax3_blocks.0,ResidualBlock,"(-1, 256, 7, 7)","(-1, 256, 7, 7)",tensor(135936)
99,attention_module1.softmax3_blocks.1.bn1,BatchNorm2d,"(-1, 256, 7, 7)","(-1, 256, 7, 7)",tensor(512)
100,attention_module1.softmax3_blocks.1.relu,ReLU,"(-1, 256, 7, 7)","(-1, 256, 7, 7)",0
101,attention_module1.softmax3_blocks.1.conv1,Conv2d,"(-1, 256, 7, 7)","(-1, 64, 7, 7)",tensor(16384)
102,attention_module1.softmax3_blocks.1.bn2,BatchNorm2d,"(-1, 64, 7, 7)","(-1, 64, 7, 7)",tensor(128)
103,attention_module1.softmax3_blocks.1.relu,ReLU,"(-1, 64, 7, 7)","(-1, 64, 7, 7)",0
104,attention_module1.softmax3_blocks.1.conv2,Conv2d,"(-1, 64, 7, 7)","(-1, 64, 7, 7)",tensor(36864)
105,attention_module1.softmax3_blocks.1.bn3,BatchNorm2d,"(-1, 64, 7, 7)","(-1, 64, 7, 7)",tensor(128)
106,attention_module1.softmax3_blocks.1.relu,ReLU,"(-1, 64, 7, 7)","(-1, 64, 7, 7)",0
107,attention_module1.softmax3_blocks.1.conv3,Conv2d,"(-1, 64, 7, 7)","(-1, 256, 7, 7)",tensor(16384)
108,attention_module1.softmax3_blocks.1,ResidualBlock,"(-1, 256, 7, 7)","(-1, 256, 7, 7)",tensor(135936)
109,attention_module1.interpolation3,UpsamplingBilinear2d,"(-1, 256, 7, 7)","(-1, 256, 14, 14)",0
110,attention_module1.softmax4_blocks.bn1,BatchNorm2d,"(-1, 256, 14, 14)","(-1, 256, 14, 14)",tensor(512)
111,attention_module1.softmax4_blocks.relu,ReLU,"(-1, 256, 14, 14)","(-1, 256, 14, 14)",0
112,attention_module1.softmax4_blocks.conv1,Conv2d,"(-1, 256, 14, 14)","(-1, 64, 14, 14)",tensor(16384)
113,attention_module1.softmax4_blocks.bn2,BatchNorm2d,"(-1, 64, 14, 14)","(-1, 64, 14, 14)",tensor(128)
114,attention_module1.softmax4_blocks.relu,ReLU,"(-1, 64, 14, 14)","(-1, 64, 14, 14)",0
115,attention_module1.softmax4_blocks.conv2,Conv2d,"(-1, 64, 14, 14)","(-1, 64, 14, 14)",tensor(36864)
116,attention_module1.softmax4_blocks.bn3,BatchNorm2d,"(-1, 64, 14, 14)","(-1, 64, 14, 14)",tensor(128)
117,attention_module1.softmax4_blocks.relu,ReLU,"(-1, 64, 14, 14)","(-1, 64, 14, 14)",0
118,attention_module1.softmax4_blocks.conv3,Conv2d,"(-1, 64, 14, 14)","(-1, 256, 14, 14)",tensor(16384)
119,attention_module1.softmax4_blocks,ResidualBlock,"(-1, 256, 14, 14)","(-1, 256, 14, 14)",tensor(135936)
120,attention_module1.interpolation2,UpsamplingBilinear2d,"(-1, 256, 14, 14)","(-1, 256, 28, 28)",0
121,attention_module1.softmax5_blocks.bn1,BatchNorm2d,"(-1, 256, 28, 28)","(-1, 256, 28, 28)",tensor(512)
122,attention_module1.softmax5_blocks.relu,ReLU,"(-1, 256, 28, 28)","(-1, 256, 28, 28)",0
123,attention_module1.softmax5_blocks.conv1,Conv2d,"(-1, 256, 28, 28)","(-1, 64, 28, 28)",tensor(16384)
124,attention_module1.softmax5_blocks.bn2,BatchNorm2d,"(-1, 64, 28, 28)","(-1, 64, 28, 28)",tensor(128)
125,attention_module1.softmax5_blocks.relu,ReLU,"(-1, 64, 28, 28)","(-1, 64, 28, 28)",0
126,attention_module1.softmax5_blocks.conv2,Conv2d,"(-1, 64, 28, 28)","(-1, 64, 28, 28)",tensor(36864)
127,attention_module1.softmax5_blocks.bn3,BatchNorm2d,"(-1, 64, 28, 28)","(-1, 64, 28, 28)",tensor(128)
128,attention_module1.softmax5_blocks.relu,ReLU,"(-1, 64, 28, 28)","(-1, 64, 28, 28)",0
129,attention_module1.softmax5_blocks.conv3,Conv2d,"(-1, 64, 28, 28)","(-1, 256, 28, 28)",tensor(16384)
130,attention_module1.softmax5_blocks,ResidualBlock,"(-1, 256, 28, 28)","(-1, 256, 28, 28)",tensor(135936)
131,attention_module1.interpolation1,UpsamplingBilinear2d,"(-1, 256, 28, 28)","(-1, 256, 56, 56)",0
132,attention_module1.softmax6_blocks.0,BatchNorm2d,"(-1, 256, 56, 56)","(-1, 256, 56, 56)",tensor(512)
133,attention_module1.softmax6_blocks.1,ReLU,"(-1, 256, 56, 56)","(-1, 256, 56, 56)",0
134,attention_module1.softmax6_blocks.2,Conv2d,"(-1, 256, 56, 56)","(-1, 256, 56, 56)",tensor(65536)
135,attention_module1.softmax6_blocks.3,BatchNorm2d,"(-1, 256, 56, 56)","(-1, 256, 56, 56)",tensor(512)
136,attention_module1.softmax6_blocks.4,ReLU,"(-1, 256, 56, 56)","(-1, 256, 56, 56)",0
137,attention_module1.softmax6_blocks.5,Conv2d,"(-1, 256, 56, 56)","(-1, 256, 56, 56)",tensor(65536)
138,attention_module1.softmax6_blocks.6,Sigmoid,"(-1, 256, 56, 56)","(-1, 256, 56, 56)",0
139,attention_module1.last_blocks.bn1,BatchNorm2d,"(-1, 256, 56, 56)","(-1, 256, 56, 56)",tensor(512)
140,attention_module1.last_blocks.relu,ReLU,"(-1, 256, 56, 56)","(-1, 256, 56, 56)",0
141,attention_module1.last_blocks.conv1,Conv2d,"(-1, 256, 56, 56)","(-1, 64, 56, 56)",tensor(16384)
142,attention_module1.last_blocks.bn2,BatchNorm2d,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",tensor(128)
143,attention_module1.last_blocks.relu,ReLU,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",0
144,attention_module1.last_blocks.conv2,Conv2d,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",tensor(36864)
145,attention_module1.last_blocks.bn3,BatchNorm2d,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",tensor(128)
146,attention_module1.last_blocks.relu,ReLU,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",0
147,attention_module1.last_blocks.conv3,Conv2d,"(-1, 64, 56, 56)","(-1, 256, 56, 56)",tensor(16384)
148,attention_module1.last_blocks,ResidualBlock,"(-1, 256, 56, 56)","(-1, 256, 56, 56)",tensor(135936)
149,attention_module1,AttentionModule_stage1,"(-1, 256, 56, 56)","(-1, 256, 56, 56)",tensor(1763328)
150,residual_block2.bn1,BatchNorm2d,"(-1, 256, 56, 56)","(-1, 256, 56, 56)",tensor(512)
151,residual_block2.relu,ReLU,"(-1, 256, 56, 56)","(-1, 256, 56, 56)",0
152,residual_block2.conv1,Conv2d,"(-1, 256, 56, 56)","(-1, 128, 56, 56)",tensor(32768)
153,residual_block2.bn2,BatchNorm2d,"(-1, 128, 56, 56)","(-1, 128, 56, 56)",tensor(256)
154,residual_block2.relu,ReLU,"(-1, 128, 56, 56)","(-1, 128, 56, 56)",0
155,residual_block2.conv2,Conv2d,"(-1, 128, 56, 56)","(-1, 128, 28, 28)",tensor(147456)
156,residual_block2.bn3,BatchNorm2d,"(-1, 128, 28, 28)","(-1, 128, 28, 28)",tensor(256)
157,residual_block2.relu,ReLU,"(-1, 128, 28, 28)","(-1, 128, 28, 28)",0
158,residual_block2.conv3,Conv2d,"(-1, 128, 28, 28)","(-1, 512, 28, 28)",tensor(65536)
159,residual_block2.conv4,Conv2d,"(-1, 256, 56, 56)","(-1, 512, 28, 28)",tensor(131072)
160,residual_block2,ResidualBlock,"(-1, 256, 56, 56)","(-1, 512, 28, 28)",tensor(377856)
161,attention_module2.first_residual_blocks.bn1,BatchNorm2d,"(-1, 512, 28, 28)","(-1, 512, 28, 28)",tensor(1024)
162,attention_module2.first_residual_blocks.relu,ReLU,"(-1, 512, 28, 28)","(-1, 512, 28, 28)",0
163,attention_module2.first_residual_blocks.conv1,Conv2d,"(-1, 512, 28, 28)","(-1, 128, 28, 28)",tensor(65536)
164,attention_module2.first_residual_blocks.bn2,BatchNorm2d,"(-1, 128, 28, 28)","(-1, 128, 28, 28)",tensor(256)
165,attention_module2.first_residual_blocks.relu,ReLU,"(-1, 128, 28, 28)","(-1, 128, 28, 28)",0
166,attention_module2.first_residual_blocks.conv2,Conv2d,"(-1, 128, 28, 28)","(-1, 128, 28, 28)",tensor(147456)
167,attention_module2.first_residual_blocks.bn3,BatchNorm2d,"(-1, 128, 28, 28)","(-1, 128, 28, 28)",tensor(256)
168,attention_module2.first_residual_blocks.relu,ReLU,"(-1, 128, 28, 28)","(-1, 128, 28, 28)",0
169,attention_module2.first_residual_blocks.conv3,Conv2d,"(-1, 128, 28, 28)","(-1, 512, 28, 28)",tensor(65536)
170,attention_module2.first_residual_blocks,ResidualBlock,"(-1, 512, 28, 28)","(-1, 512, 28, 28)",tensor(542208)
171,attention_module2.trunk_branches.0.bn1,BatchNorm2d,"(-1, 512, 28, 28)","(-1, 512, 28, 28)",tensor(1024)
172,attention_module2.trunk_branches.0.relu,ReLU,"(-1, 512, 28, 28)","(-1, 512, 28, 28)",0
173,attention_module2.trunk_branches.0.conv1,Conv2d,"(-1, 512, 28, 28)","(-1, 128, 28, 28)",tensor(65536)
174,attention_module2.trunk_branches.0.bn2,BatchNorm2d,"(-1, 128, 28, 28)","(-1, 128, 28, 28)",tensor(256)
175,attention_module2.trunk_branches.0.relu,ReLU,"(-1, 128, 28, 28)","(-1, 128, 28, 28)",0
176,attention_module2.trunk_branches.0.conv2,Conv2d,"(-1, 128, 28, 28)","(-1, 128, 28, 28)",tensor(147456)
177,attention_module2.trunk_branches.0.bn3,BatchNorm2d,"(-1, 128, 28, 28)","(-1, 128, 28, 28)",tensor(256)
178,attention_module2.trunk_branches.0.relu,ReLU,"(-1, 128, 28, 28)","(-1, 128, 28, 28)",0
179,attention_module2.trunk_branches.0.conv3,Conv2d,"(-1, 128, 28, 28)","(-1, 512, 28, 28)",tensor(65536)
180,attention_module2.trunk_branches.0,ResidualBlock,"(-1, 512, 28, 28)","(-1, 512, 28, 28)",tensor(542208)
181,attention_module2.trunk_branches.1.bn1,BatchNorm2d,"(-1, 512, 28, 28)","(-1, 512, 28, 28)",tensor(1024)
182,attention_module2.trunk_branches.1.relu,ReLU,"(-1, 512, 28, 28)","(-1, 512, 28, 28)",0
183,attention_module2.trunk_branches.1.conv1,Conv2d,"(-1, 512, 28, 28)","(-1, 128, 28, 28)",tensor(65536)
184,attention_module2.trunk_branches.1.bn2,BatchNorm2d,"(-1, 128, 28, 28)","(-1, 128, 28, 28)",tensor(256)
185,attention_module2.trunk_branches.1.relu,ReLU,"(-1, 128, 28, 28)","(-1, 128, 28, 28)",0
186,attention_module2.trunk_branches.1.conv2,Conv2d,"(-1, 128, 28, 28)","(-1, 128, 28, 28)",tensor(147456)
187,attention_module2.trunk_branches.1.bn3,BatchNorm2d,"(-1, 128, 28, 28)","(-1, 128, 28, 28)",tensor(256)
188,attention_module2.trunk_branches.1.relu,ReLU,"(-1, 128, 28, 28)","(-1, 128, 28, 28)",0
189,attention_module2.trunk_branches.1.conv3,Conv2d,"(-1, 128, 28, 28)","(-1, 512, 28, 28)",tensor(65536)
190,attention_module2.trunk_branches.1,ResidualBlock,"(-1, 512, 28, 28)","(-1, 512, 28, 28)",tensor(542208)
191,attention_module2.mpool1,MaxPool2d,"(-1, 512, 28, 28)","(-1, 512, 14, 14)",0
192,attention_module2.softmax1_blocks.bn1,BatchNorm2d,"(-1, 512, 14, 14)","(-1, 512, 14, 14)",tensor(1024)
193,attention_module2.softmax1_blocks.relu,ReLU,"(-1, 512, 14, 14)","(-1, 512, 14, 14)",0
194,attention_module2.softmax1_blocks.conv1,Conv2d,"(-1, 512, 14, 14)","(-1, 128, 14, 14)",tensor(65536)
195,attention_module2.softmax1_blocks.bn2,BatchNorm2d,"(-1, 128, 14, 14)","(-1, 128, 14, 14)",tensor(256)
196,attention_module2.softmax1_blocks.relu,ReLU,"(-1, 128, 14, 14)","(-1, 128, 14, 14)",0
197,attention_module2.softmax1_blocks.conv2,Conv2d,"(-1, 128, 14, 14)","(-1, 128, 14, 14)",tensor(147456)
198,attention_module2.softmax1_blocks.bn3,BatchNorm2d,"(-1, 128, 14, 14)","(-1, 128, 14, 14)",tensor(256)
199,attention_module2.softmax1_blocks.relu,ReLU,"(-1, 128, 14, 14)","(-1, 128, 14, 14)",0
200,attention_module2.softmax1_blocks.conv3,Conv2d,"(-1, 128, 14, 14)","(-1, 512, 14, 14)",tensor(65536)
201,attention_module2.softmax1_blocks,ResidualBlock,"(-1, 512, 14, 14)","(-1, 512, 14, 14)",tensor(542208)
202,attention_module2.skip1_connection_residual_block.bn1,BatchNorm2d,"(-1, 512, 14, 14)","(-1, 512, 14, 14)",tensor(1024)
203,attention_module2.skip1_connection_residual_block.relu,ReLU,"(-1, 512, 14, 14)","(-1, 512, 14, 14)",0
204,attention_module2.skip1_connection_residual_block.conv1,Conv2d,"(-1, 512, 14, 14)","(-1, 128, 14, 14)",tensor(65536)
205,attention_module2.skip1_connection_residual_block.bn2,BatchNorm2d,"(-1, 128, 14, 14)","(-1, 128, 14, 14)",tensor(256)
206,attention_module2.skip1_connection_residual_block.relu,ReLU,"(-1, 128, 14, 14)","(-1, 128, 14, 14)",0
207,attention_module2.skip1_connection_residual_block.conv2,Conv2d,"(-1, 128, 14, 14)","(-1, 128, 14, 14)",tensor(147456)
208,attention_module2.skip1_connection_residual_block.bn3,BatchNorm2d,"(-1, 128, 14, 14)","(-1, 128, 14, 14)",tensor(256)
209,attention_module2.skip1_connection_residual_block.relu,ReLU,"(-1, 128, 14, 14)","(-1, 128, 14, 14)",0
210,attention_module2.skip1_connection_residual_block.conv3,Conv2d,"(-1, 128, 14, 14)","(-1, 512, 14, 14)",tensor(65536)
211,attention_module2.skip1_connection_residual_block,ResidualBlock,"(-1, 512, 14, 14)","(-1, 512, 14, 14)",tensor(542208)
212,attention_module2.mpool2,MaxPool2d,"(-1, 512, 14, 14)","(-1, 512, 7, 7)",0
213,attention_module2.softmax2_blocks.0.bn1,BatchNorm2d,"(-1, 512, 7, 7)","(-1, 512, 7, 7)",tensor(1024)
214,attention_module2.softmax2_blocks.0.relu,ReLU,"(-1, 512, 7, 7)","(-1, 512, 7, 7)",0
215,attention_module2.softmax2_blocks.0.conv1,Conv2d,"(-1, 512, 7, 7)","(-1, 128, 7, 7)",tensor(65536)
216,attention_module2.softmax2_blocks.0.bn2,BatchNorm2d,"(-1, 128, 7, 7)","(-1, 128, 7, 7)",tensor(256)
217,attention_module2.softmax2_blocks.0.relu,ReLU,"(-1, 128, 7, 7)","(-1, 128, 7, 7)",0
218,attention_module2.softmax2_blocks.0.conv2,Conv2d,"(-1, 128, 7, 7)","(-1, 128, 7, 7)",tensor(147456)
219,attention_module2.softmax2_blocks.0.bn3,BatchNorm2d,"(-1, 128, 7, 7)","(-1, 128, 7, 7)",tensor(256)
220,attention_module2.softmax2_blocks.0.relu,ReLU,"(-1, 128, 7, 7)","(-1, 128, 7, 7)",0
221,attention_module2.softmax2_blocks.0.conv3,Conv2d,"(-1, 128, 7, 7)","(-1, 512, 7, 7)",tensor(65536)
222,attention_module2.softmax2_blocks.0,ResidualBlock,"(-1, 512, 7, 7)","(-1, 512, 7, 7)",tensor(542208)
223,attention_module2.softmax2_blocks.1.bn1,BatchNorm2d,"(-1, 512, 7, 7)","(-1, 512, 7, 7)",tensor(1024)
224,attention_module2.softmax2_blocks.1.relu,ReLU,"(-1, 512, 7, 7)","(-1, 512, 7, 7)",0
225,attention_module2.softmax2_blocks.1.conv1,Conv2d,"(-1, 512, 7, 7)","(-1, 128, 7, 7)",tensor(65536)
226,attention_module2.softmax2_blocks.1.bn2,BatchNorm2d,"(-1, 128, 7, 7)","(-1, 128, 7, 7)",tensor(256)
227,attention_module2.softmax2_blocks.1.relu,ReLU,"(-1, 128, 7, 7)","(-1, 128, 7, 7)",0
228,attention_module2.softmax2_blocks.1.conv2,Conv2d,"(-1, 128, 7, 7)","(-1, 128, 7, 7)",tensor(147456)
